company_id,company_name,pros,cons
5,ICICI Bank,Positive EPS growth; High-quality operating cash flow,High debt-equity ratio
9,Axis Bank,Positive EPS growth; Low debt burden; High-quality operating cash flow,
8,Bharti Airtel,Positive EPS growth; Low debt burden; High-quality operating cash flow,
10,Wipro,Low debt burden; High-quality operating cash flow,
1,TCS,Positive EPS growth; Low debt burden; High-quality operating cash flow,
6,Larsen & Toubro,Low debt burden; High-quality operating cash flow,
7,ITC,Positive EPS growth; Low debt burden; High-quality operating cash flow,
3,Reliance Industries,Positive EPS growth; Low debt burden; High-quality operating cash flow,
4,HDFC Bank,High-quality operating cash flow,High debt-equity ratio
2,Infosys,Low debt burden,
